river country province
Thjorsa IS Iceland
"Jökulsa a Fjöllum" IS Iceland
Thames GB "East of England"
Thames GB London
Thames GB "South East"
Thames GB "South West"
Severn GB "West Midlands"
Severn GB "South West"
Severn GB Wales
Trent GB "Yorkshire and the Humber"
Trent GB "East Midlands"
Trent GB "West Midlands"
Clyde GB Scotland
Leven GB Scotland
Ness GB Scotland
Bann GB "Northern Ireland"
Shannon IRL Ireland
Glomma N Akershus
Glomma N Østfold
Glomma N Hedmark
Glomma N Sør-Trøndelag
Lågen N Akershus
Lågen N Hedmark
Lågen N Oppland
Götaälv S "Västra Götaland"
"Motala Ström" S Östergötland
Klarälv N Hedmark
Klarälv S Värmland
Dalälv S Gävleborg
Dalälv S Dalarna
Dalälv S Uppsala
Dalälv S Västmanland
Västerdalälv S Dalarna
Österdalälv S Dalarna
Umeälv S Västerbotten
Paatsjoki R Murmanskaya
Paatsjoki SF Lappia
Paatsjoki N Finnmark
Torneälv SF Lappia
Torneälv N Nordland
Torneälv S Västerbotten
Ounasjoki SF Lappia
Kemijoki SF Lappia
Oulujoki SF Pohjois-Pohjanmaa
Oulujoki SF Kainuu
Kymijoki SF Päijät-Häme
Kymijoki SF Kymenlaakso
Kokemäenjoki SF Pirkanmaa
Kokemäenjoki SF Satakunta
Vuoksi R Karelia
Vuoksi SF Etelä-Karjala
Memel LT Lithuania
Memel BY Grodno
Memel BY Minsk
Memel R Kaliningradskaya
Weichsel PL Kujawsko-Pomorskie
Weichsel PL Lubelskie
Weichsel PL Małopolskie
Weichsel PL Mazowieckie
Weichsel PL Podkarpackie
Weichsel PL Pomorskie
Weichsel PL Śląskie
Weichsel PL Świętokrzyskie
Narew BY Grodno
Narew PL Mazowieckie
Narew PL Podlaskie
"Western Bug" BY Brest
"Western Bug" PL Lubelskie
"Western Bug" PL Mazowieckie
"Western Bug" PL Podlaskie
"Western Bug" UA Lvivska
"Western Bug" UA Volynska
Oder CZ Moravskoslezský
Oder CZ Olomoucký
Oder D Brandenburg
Oder D Mecklenburg-Vorpommern
Oder D Sachsen
Oder PL Dolnośląskie
Oder PL Lubuskie
Oder PL Opolskie
Oder PL Śląskie
Oder PL Zachodniopomorskie
Neiße CZ Liberecký
Neiße D Brandenburg
Neiße D Sachsen
Neiße PL Lubuskie
Neiße PL Łódzkie
Warta PL Lubuskie
Warta PL Łódzkie
Warta PL Śląskie
Warta PL Wielkopolskie
Elbe CZ Královéhradecký
Elbe CZ Liberecký
Elbe CZ Pardubický
Elbe CZ Středočeský
Elbe CZ Ústecký
Elbe D Brandenburg
Elbe D Hamburg
Elbe D Mecklenburg-Vorpommern
Elbe D Niedersachsen
Elbe D Sachsen
Elbe D Sachsen-Anhalt
Elbe D Schleswig-Holstein
Havel D Berlin
Havel D Brandenburg
Havel D Mecklenburg-Vorpommern
Havel D Sachsen-Anhalt
Spree CZ Ústecký
Spree D Berlin
Spree D Brandenburg
Spree D Sachsen
Saale D Bayern
Saale D Sachsen-Anhalt
Saale D Thüringen
"Weiße Elster" CZ Karlovarský
"Weiße Elster" D Sachsen
"Weiße Elster" D Sachsen-Anhalt
"Weiße Elster" D Thüringen
Mulde D Sachsen
Mulde D Sachsen-Anhalt
Moldau CZ Praha
Moldau CZ Jihočeský
Moldau CZ Středočeský
Weser D Bremen
Weser D Hessen
Weser D Niedersachsen
Weser D Nordrhein-Westfalen
Aller D Niedersachsen
Aller D Sachsen-Anhalt
Oker D Niedersachsen
Leine D Niedersachsen
Leine D Thüringen
Werra D Hessen
Werra D Niedersachsen
Werra D Thüringen
Fulda D Hessen
Rhein F "Grand Est"
Rhein D Baden-Württemberg
Rhein D Hessen
Rhein D Nordrhein-Westfalen
Rhein D Rheinland-Pfalz
Rhein CH Aargau
Rhein CH Basel-Landschaft
Rhein CH Basel-Stadt
Rhein CH Graubünden
Rhein CH "Sankt Gallen"
Rhein CH Schaffhausen
Rhein CH Thurgau
Rhein CH Zürich
Rhein FL Liechtenstein
Rhein A Vorarlberg
Rhein NL Gelderland
Rhein NL Zuid-Holland
Rhein NL Noord-Brabant
Lippe D Nordrhein-Westfalen
Emscher D Nordrhein-Westfalen
Ruhr D Nordrhein-Westfalen
Wupper D Nordrhein-Westfalen
Sieg D Nordrhein-Westfalen
Sieg D Rheinland-Pfalz
Lahn D Hessen
Lahn D Nordrhein-Westfalen
Lahn D Rheinland-Pfalz
Main D Baden-Württemberg
Main D Bayern
Main D Hessen
Mosel F "Grand Est"
Mosel D Rheinland-Pfalz
Mosel D Saarland
Mosel L Luxembourg
Sauer D Rheinland-Pfalz
Sauer B Luxembourg
Sauer L Luxembourg
Alzette F "Grand Est"
Alzette L Luxembourg
Saar F "Grand Est"
Saar D Rheinland-Pfalz
Saar D Saarland
Neckar D Baden-Württemberg
Neckar D Hessen
Enz D Baden-Württemberg
Ill F "Grand Est"
Elz D Baden-Württemberg
Birs CH Basel-Landschaft
Birs CH Basel-Stadt
Birs CH Bern
Birs CH Jura
Birs CH Solothurn
Aare CH Aargau
Aare CH Bern
Aare CH Solothurn
Saane CH Bern
Saane CH Fribourg
Saane CH Valais
Reuss CH Aargau
Reuss CH Luzern
Reuss CH Uri
Limmat CH Aargau
Limmat CH Zürich
Thur CH "Sankt Gallen"
Thur CH Thurgau
Thur CH Zürich
"Bregenzer Ach" A Vorarlberg
Hinterrhein CH Graubünden
Maas F "Grand Est"
Maas B Liège
Maas B Limburg
Maas B Namur
Maas NL Gelderland
Maas NL Zuid-Holland
Maas NL Noord-Brabant
Maas NL Limburg
Schelde F Hauts-de-France
Schelde B Antwerpen
Schelde B Oost-Vlaanderen
Schelde B Hainaut
Schelde B West-Vlaanderen
Schelde NL Zeeland
Seine F Île-de-France
Seine F "Grand Est"
Seine F Normandie
Seine F Bourgogne-Franche-Comté
Marne F Île-de-France
Marne F "Grand Est"
Loire F Auvergne-Rhône-Alpes
Loire F "Centre-Val de Loire"
Loire F "Pays de la Loire"
Loire F Bourgogne-Franche-Comté
Garonne F Nouvelle-Aquitaine
Garonne F Occitanie
Garonne E Catalunya
Rhone F Auvergne-Rhône-Alpes
Rhone F "Provence-Alpes-Côte d'Azur"
Rhone F Occitanie
Rhone CH Genève
Rhone CH Valais
Rhone CH Vaud
Saone F Auvergne-Rhône-Alpes
Saone F "Grand Est"
Saone F Bourgogne-Franche-Comté
Doubs F Bourgogne-Franche-Comté
Doubs CH Jura
Isere F Auvergne-Rhône-Alpes
Durance F "Provence-Alpes-Côte d'Azur"
Douro E "Castilla y León"
Douro P Aveiro
Douro P Braganca
Douro P Guarda
Douro P Porto
Douro P "Vila Real"
Douro P Viseu
Mondego P Coimbra
Mondego P Guarda
Mondego P Viseu
Tajo E "Castilla-La Mancha"
Tajo E Extremadura
Tajo P "Castelo Branco"
Tajo P Lisboa
Tajo P Portalegre
Tajo P Santarem
Sado P Beja
Sado P Setubal
Guadiana E Andalucía
Guadiana E "Castilla-La Mancha"
Guadiana E Extremadura
Guadiana P Beja
Guadiana P Evora
Guadiana P Algarve
Guadiana P Portalegre
Guadalquivir E Andalucía
Ebro E Aragón
Ebro E Euskadi
Ebro E "Castilla y León"
Ebro E Catalunya
Ebro E Navarra
Ebro E "La Rioja"
Po I Piemonte
Po I Lombardia
Po I Veneto
Po I Emilia-Romagna
Ticino I Piemonte
Ticino I Lombardia
Ticino CH Ticino
"Dora Baltea" I Piemonte
"Dora Baltea" I "Valle d'Aosta"
Tanaro I Piemonte
Tanaro I Liguria
Adda I Lombardia
Mincio I Veneto
Etsch I "Trentino-Alto Adige"
Etsch I Veneto
Tevere I Toscana
Tevere I Umbria
Tevere I Lazio
Marta I Lazio
Arrone I Lazio
Arno I Toscana
"Imera Meridionale" I Sicilia
Tirso I Sardegna
Donau SRB Serbia
Donau SK Bratislavský
Donau SK Nitriansky
Donau SK Trnavský
Donau D Baden-Württemberg
Donau D Bayern
Donau H Baranya
Donau H Bács-Kiskun
Donau H Fejér
Donau H Győr-Moson-Sopron
Donau H Komárom-Esztergom
Donau H Pest
Donau H Tolna
Donau H Budapest
Donau A Wien
Donau A Oberösterreich
Donau A Niederösterreich
Donau UA Odeska
Donau HR Croatia
Donau BG Bulgaria
Donau RO Brăila
Donau RO Călăraşi
Donau RO Caraş-Severin
Donau RO Constanţa
Donau RO Dolj
Donau RO Galaţi
Donau RO Giurgiu
Donau RO Ialomiţa
Donau RO Mehedinţi
Donau RO Olt
Donau RO Teleorman
Donau RO Tulcea
Donau MD Moldova
Breg D Baden-Württemberg
Brigach D Baden-Württemberg
Iller D Baden-Württemberg
Iller D Bayern
Iller A Vorarlberg
Lech D Bayern
Lech A Vorarlberg
Lech A Tirol
Isar D Bayern
Isar A Tirol
Ammer D Bayern
Würm D Bayern
Inn D Bayern
Inn CH Graubünden
Inn A Oberösterreich
Inn A Tirol
Ilz D Bayern
Regen CZ Plzeňský
Regen D Bayern
Alz D Bayern
Salzach D Bayern
Salzach A Oberösterreich
Salzach A Salzburg
Enns A Oberösterreich
Enns A Steiermark
Enns A Salzburg
Enns A Niederösterreich
March CZ Jihomoravský
March CZ Olomoucký
March CZ Pardubický
March CZ Zlínský
March SK Bratislavský
March SK Trnavský
March A Niederösterreich
